id,name_mm,name_en,lat_long,internal_notes
72,ရေကျော် ဘူတာ,Yae Kyaw Station,"16.779368,96.173060",
73,တာဝတိ ံသာ ဘူတာ,Tar Wa Tain Tar Station,"16.774550,96.178295",
74,လင်းစတောင်း ဘူတာ,Linstaung Station,"16.769829,96.181367",
75,ဘိုတထောင်ဘုရား ဘူတာ,Botahtaung Pagoda Station,"16.769147,96.171996",
76,ပန်းဆိုးတန်း ဘူတာ,Pansodan Station,"16.768867,96.163082",
77,ရွှေတိဂုံဘုရားလမ်း ဘူတာ,Shwedagon Pagoda Road Station,"16.771687,96.152975",
78,စဉ့်အိုးတန်း ဘူတာ,Sine Oh Dan Station,"16.772283,96.146495",
79,မော်တင် ဘူတာ,Maw Tin Station,"16.774306,96.141302",
80,ဝါးတန်း ဘူတာ,War Dan Station,"16.779299,96.134157",
81,ထော်လီကွေ့ ဘူတာ,Htaw Li Gwe Station,"16.783346,96.128513",
82,ပဲခူး ဘူတာ,Bago Station,,
83,ဒိုက်ဦး ဘူတာ,Daik U Station,,
84,ပြွန်တန်ဆာ ဘူတာ,Pyuntaza Station,,
85,ညောင်လေးပင် ဘူတာ,Nyaunglebin Station,,
86,ပိန်းဇလုပ် ဘူတာ,Pein Za Loke Station,,
87,ကျောက်တံခါး ဘူတာ,Kyauk Ta Ka Station,,
88,ပဲနွယ်ကုန်း ဘူတာ,Pe Nwe Gon Station,,
89,ကညွတ်ကွင်း ဘူတာ,Ka Nyut Kwin Station,,
90,ဖြုး ဘူတာ,Phyu Station,,
91,ဇေယျဝတီ ဘူတာ,Zay Ya Wa Di Station,,
92,အ့တ်တွင်း ဘူတာ,Ok Twin Station,,
93,တောင်ငူ ဘူတာ,Taungoo Station,,
94,ရေတာရှည် ဘူတာ,Ye Da She Station,,
95,ဆွာ ဘူတာ,Swar Station,,
96,မြို့လှ ဘူတာ,Myo Hla Station,,
97,ရေနီ ဘူတာ,Yae Ni Station,,
98,သာဝတ္တိ ဘူတာ,Tha Wat Ti Station,,
99,ဧလာ ဘူတာ,Ela Station,,
100,ပျဥ်းမနား ဘူတာ,Pyinmana Station,,
101,နေပြည်တော် ဘူတာ,Nay Pyi Taw Station,,
102,ကျည့်းတောင်ကန် ဘူတာ,Kyihtaunggan Station,,
103,တပ်ကုန်း ဘူတာ,Tatkon Station,,
104,ရမည်းသင်း ဘူတာ,Yamethin Station,,
105,ရွေးဒါး ဘူတာ,Shwe Da Station,,
106,ပျော်ဘွယ် ဘူတာ,Pyawbwe Station,,
107,ညောင်ရမ်း ဘူတာ,Nyaung Yan Station,,
108,သာစည် ဘူတာ,Thazi Station,,
109,သဲတော ဘူတာ,Sin Mi Zwe Station,,
110,သပြေတောင်း ဘူတာ,Tha Pyay Taung Station,,
111,မြစ်သား ဘူတာ,Myittha Station,,
112,ကျောက်ဆည် ဘူတာ,Kyaukse Station,,
113,မန္တလေး ဘူတာ,Mandalay Station,,
114,ဝေါ ဘူတာ,Waw Station,,
115,သိမ်ဇရပ် ဘူတာ,Thein Za Yat Station,,
116,မုပ္ပလင် ဘူတာ,Moke Pa Lin Statino,,
117,ကျိုက္ကသာ ဘူတာ,Kyaik Ka Tha Station,,
118,ကျိုုက်ထို ဘူတာ,Kyaikto Station,,
119,မရမ်းကုန်း ဘူတာ,Ma Yan Kone Station,,
120,တောင်စွန်း ဘူတာ,Taung Sun Station,,
121,နှင်းပုလဲ ဘူတာ,Hnin Pale Station,,
122,သိမ်ဆိပ် ဘူတာ,Thein Seik Station,,
123,သထုံ ဘူတာ,Thaton Station,,
124,ရင်းညိမ် ဘူတာ,Yin Nyein Station,,
125,ဇင်းကျိုက် ဘူတာ,Zin Kyaik Station,,
126,ပေါင် ဘူတာ,Paung Station,,
127,မုတ္တမ ဘူတာ,Moke Ta Ma Station,,
128,မော်လမြိုင် ဘူတာ,Mawlamyaing Station,,
129,ကျောက်တန်း ဘူတာ,Kyauk Tan Station,,
130,တာဝ ဘူတာ,Tar Wa Station,,
131,ဘုရားသုံးဆူ ဘူတာ,Payathonzu Station,,
133,သာယာဝတီ ဘူတာ,Thayarwady Station,,
134,လက်ပံတန်း ဘူတာ,Letpadan Station,,
135,မင်းလှ ဘူတာ,Minhla Station,,
136,အုတ်ဖို ဘူတာ,Okpho Station,,
137,ကြို့ပင်ကောက် ဘူတာ,Gyobingauk Station,,
138,ဇီးကုန်း ဘူတာ,Zigon Station,,
139,နတ္တလင်း ဘူတာ,Nattalin Station,,
140,ပေါင််းတည် ဘူတာ,Paungde Station,,
141,ပုတီးကုန်း ဘူတာ,Pu Tee Kone Station,,
142,သဲကုန်း ဘူတာ,Thegon Station,,
143,ဆင်မြီးဆွဲ ဘူတာ,Sin Mi Zwe Station,,
144,ပြည် ဘူတာ,Pyay Station,,
145,ပုဂံ ဘူတာ,Bagan Station,,
146,စုတည် ဘူတာ,Su Ti Station,,
147,ကျောက်ပန်းတောင်း ဘူတာ,Kyauk Pa Daung Station,,
148,ပင်းချောင်း ဘူတာ,Pin Chaung Station,,
149,သာမြှား ဘူတာ,Thar Hmya Station,,
150,လေးအိမ် ဘူတာ,Lay Ein Station,,
151,နတ်မောက် ဘူတာ,Nat Mauk Station,,
152,မြို့သစ် ဘူတာ,Myo Thit Station,,
153,တောင်တွင်းကြီး ဘူတာ,Taung Dwin Gyi  Station,,
154,ဆတ်သွား ဘူတာ,Sat Thwar Station,,
155,အောင်လံ ဘူတာ,Aung Lan Station,,
156,ရွှေတံခါး ဘူတာ,Shwe Ti Hka Station,,
157,မြစ်ငယ် ဘူတာ,Myitnge Station,,
158,ကော့ချဲ ဘူတာ,Kawt Che Station,,
159,မိုးကြိုးပင် ဘူတာ,Mo Gyoe Pyit Station,,
160,လက်ပံတန်းစု ဘူတာ,Let Pa Dan Su Station,,
161,ပိတောက်တန်း ဘူတာ,Pa Tauk Tan Station,,
162,ရေကျော် ဘူတာ,Yae Kyaw Station,,
163,ငဖြူကလေး ဘူတာ,Nga Hpyu Ka Lay Station,,
164,သုံးဆယ် ဘူတာ,Thonze Station,,
166,ပြူတွင်းဘူတာ,Pyu Twin Station,,
167,ဗောဓိကုန်း ဘူတာ,Baw Ti Gon Station,,
168,လယ်ဝေး ဘူတာ,Le We Station,,
169,ချောင်းကြိုး ဘူတာ,Chaung Kyoe Station,,
170,ကန်သာ ဘူတာ,Kan Thar Station,,
171,ဝင်တဲကူး ဘူတာ,Win Te Gu Station,,
172,သစ်ပုတ်ပင် ဘူတာ,Thit Poke Pin Station,,
173,မင်းပြင် ဘူတာ,Min Pyin Station,,
174,အောင်မြင်ယာ ဘူတာ,Aung Myin Thar Station,,
175,ဒလန့်ချွန် ဘူတာ,Duangchun Station,,
176,အိုးပေါက် ဘူတာ,Potting Station,,
177,ကုလားမ ဘူတာ,Ku Lar Ma Station,,
178,ကုက္ဏိုကုန်း ဘူတာာ,Koke Ko Kone Station,,
179,တောင်လျောင်း ဘူတာ,Taung Lyaung Station,,
180,ချောင်းနက် ဘူတာ,Chang Net Station,,
181,တောင်ကြီး ဘူတာ,Tanunggyi Station,,
182,ဖာမွန်း ဘူတာ,Hpa Mun Station,,
183,နောင်ကား ဘူတာ,Naung Kar Station,,
184,ဟမ်းဆီး ဘူတာ,Hang Si Station,,
185,ကက်ကူ ဘူတာ,Kek Ku Station,,
186,ဘန်းယဥ် ဘူတာ,Ban Yin Station,,
187,ဆိုက်ခေါင် ဘူတာ,Hsaik Hkaung Station,,
188,ပြင်ဦးလွင် ဘူတာ,Pyin U Lwin Station,,
189,ပွဲကောက် ဘူတာ,Pwe Kaul Station,,
190,ဝက်ဝံ ဘူတာ,Wet Wun Station,,
191,ဆမ်ဆယ် ဘူတာ,Hsam Ma Hse Station,,
192,နောင်ချိူ ဘူတာ,Nawnghkio Station,,
193,ဂုတ်ထိပ် ဘူတာ,Gokteik Station,,
194,လှိုင်းတက် ဘူတာ,Hlaing Tet Station,,
195,ဘုရားငါးဆူ ဘူတာ,Pa Ya Nga Zu Station,,
196,ယင်းမာပင် ဘူတာ,Yin Ma Pin Station,,
197,ပြဥ်ညောင် ဘူတာ,Pyi Nyaung Station,,
198,ရေပူ ဘူတာ,Ye Bu Station,,
199,လယ်ပြင် ဘူတာ,Le Byin Station,,
200,ပထမလွန်းထိုး ဘူတာ,Pa Ta Ma Lun Hto Station,,
201,ခွေးရုပ် ဘူတာ,Khway Yok Station,,
202,ဆင်တောင် ဘူတာ,Hsin Taung Station,,
203,မြင်းဒိုက် ဘူတာ,Myin Daik Station,,
204,ကလော ဘူတာ,Kalaw Station,,
205,အောင်ပန်း ဘူတာ,Aungpan Station,,
206,ကမ်းနား ဘူတာ,Kan Na Station,,
207,ဟဲဟိုး ဘူတာ,Heho Statio,,
208,ရွှေညောင် ဘူတာ,Shwe Nyaung Station,,
209,ပုသိမ် ဘူတာ,Pathein Station,,
210,ရွှေဝတ်မှုန် ဘူတာ,Shwe Wut Hmoe Station,,
211,တကုန်းကြီး ဘူတာ,Ta Kone Gyi Station,,
212,ဘဲဂရက် ဘူတာ,Be Ga Yet Station,,
213,ဒါးက ဘူတာ,Dar Ka Station,,
214,ဂုံမင်း ဘူတာ,Gon Min Station,,
215,လှည်းဆိပ် ဘူတာ,Hle Seik Station,,
216,ယိုးဒယားတက် ဘူတာ,Yo Da Ya Det Station,,
217,အသုတ် ဘူတာ,Ah Thok Station,,
218,ရေကြည် ဘူတာ,Ye Gyi Station,,
219,ဇရပ်လှ ဘူတာ,Za Yat Hla Station,,
220,ဒိုက်ပျက် ဘူတာ,Daik Pyet Station,,
221,ခမောက်စု ဘူတာ,Ka Mauk Su Station,,
222,ယုံသလင်း ဘူတာ,Yon Tha Lin Station,,
223,နတ်မော် ဘူတာ,Nat Maw Station,,
224,ဟင်္ဿတ ဘူတာ,Hinthada Station,,
225,ဘုရားကုန်း ဘူတာ,Hpa Ya Kone Station,,
226,ရွာသာ ဘူတာ,Ywa Thar Station,,
227,မ္ဘေီ ဘူတာ,Dan Bi Station,,
228,မြို့ကွင်း ဘူတာ,Myo Kwin Station,,
229,ထန်းပင်ကုန်း ဘူတာ,Ta Bin Gon Station,,
230,အင်္ဂပူ ဘူတာ,Ingabu Station,,
231,ဇောင်းတန်း ဘူတာ,Zaung Dan Station,,
232,မယ်ဇလီကုန်း ဘူတာ,Me Za Li Gon Station,,
233,ထူးကြီး ဘူတာ,Htu Gyi Station,,
234,ကညင်ငူ ဘူတာ,Ka Nyin Ngu Station,,
235,အင်ပင် ဘူတာ,In Pin Station,,
236,တဲကြီးကုန်း ဘူတာ,Te Gyi Kone  Station,,
237,မြန်အောင် ဘူတာ,Myan Aung Station,,
238,ကြံခင်း ဘူတာ,Kyangin Station,,
239,ညောင်ဝိုင်း ဘူတာ,Nyaung Waing Station,,
240,ကျောက်အိုင် ဘူတာ,Kyauk Aing Station,,
241,စည်ပင်သာ ဘူတာ,Se Pin Thar Station,,
242,ခမုံဆိပ် ဘူတာ,Kha Mon Seik Station,,
243,မြစ်မခ ဘူတာ,Myit Ma Kha Station,,
244,သံဖြူရုံ ဘူတာ,Than Byu Yon Station,,
245,ကညင်တို ဘူတာ,Ka Nyin To Station,,
246,ဇီးဖြူကုန်း ဘူတာ,Zee Hpyu Kone Station,,
247,ဇီးဖြူကုန်းရွာမ ဘူတာ,Zee Hpyu Kone Ywa Mar Station,,
248,သာရဝေါ ဘူတာ,Tharawaw Station,,
249,ပြည်တော်သာ ဘူတာ,Pyi Taw Tha Station,,
250,စစ်တွေ ဘူတာ,Sittwe  Station,,
251,စစ်တွေတက္ကသိုလ် ဘူတာ,Sittwe University Station,,
252,ဒါးပိုင် ဘူတာ,Dar Paing Station,,
253,ဇော်ပူဂျာ ဘူတာ,Zaw Puja Station,,
254,မယ်ဇလီ ဘူတာ,Mazali Station,,
255,ရေချမ်းပြင် ဘူတာ,Yae Chan Pyin Station,,
256,ကျေးတော ဘူတာ,,,
261,ကုန်းကြီး ဘူတာ,,,
263,ကျွန်းကုန်း ဘူတာ,,,
264,သာဂရ ဘူတာ,,,
265,ပြည်ဝင် ဘူတာ,,,
266,ရွာတော် ဘူတာ,,,
267,ဖြုတ်ခွဲ ဘူတာ,,,
268,ရွှေမြို့ ဘူတာ,,,
269,ဆင်သေ ဘူတာ,,,
270,မကျီးပင် ဘူတာ,,,
271,ညောင်လွန်း ဘူတာ,,,
272,ငှက်သိုက် ဘူတာ,,,
273,အင်းကုန်း ဘူတာ,,,
274,အင်းကြင်းကန် ဘူတာ,,,
275,ရွှေဒါး ဘူတာ,,,
276,ရှမ်းရွာ ဘူတာ,,,
277,မြို့လုလင် ဘူတာ,,,
278,ရွှေပန်းပင် ဘူတာ,,,
279,လက်ခုတ်ပင် ဘူတာ,,,
280,ဂွေးကုန်း ဘူတာ,,,
281,ဆင်သေကန် ဘူတာ,,,
282,ညောင်တို ဘူတာ,,,
283,အင်တောကျယ် ဘူတာ,,,
284,ကန်သာယာ ဘူတာ,,,
285,ငါ့မင်းမေး ဘူတာ,,,
286,တောင်ဇင်း ဘူတာ,,,
294,စမုံ ဘူတာ,,,
295,ဟံဇား ဘူတာ,,,
296,ရွာပုလဲ ဘူတာ,,,
297,အောင်မြေယာ ဘူတာ,,,
